scenarioId,representation,conditionName,bandwidthBps,latencyMs,jitterMs,configuredLossRate,burstLossLength,totalMessages,successfulMessages,deliverySuccessRate,observedPacketLossRate,latencyMedianMs,latencyP95Ms,latencyMeanMs,ackMedianMs,ackP95Ms,retransmissionCount,fragmentCount,reassemblySuccessCount,dtnStorageCount,dtnExpiryCount,duplicateSuppressionCount,bytesTransmitted,bytesDelivered,goodputBps,overheadRatio,representationExpansionRatio,contextReconstructionSuccessRate,semanticCorrectnessRate,tacticalSuccessRate,semanticFieldAccuracy,criticalFieldRecall,seed,device
EXP-BW-BW_20K-FULL,FULL,BW_20K,20000,0,0,0.0000,0,6,6,1.0000,0.0000,41.50,45.00,41.83,55.50,59.00,0,0,0,0,0,0,617,617,19665.34,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260925,CONTROLLED_SIMULATION
EXP-BW-BW_20K-COMPACT,COMPACT,BW_20K,20000,0,0,0.0000,0,6,6,1.0000,0.0000,39.50,43.00,40.00,53.50,57.00,0,0,0,0,0,0,594,594,19800.00,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260926,CONTROLLED_SIMULATION
EXP-BW-BW_20K-SEMANTIC_BASE,SEMANTIC_BASE,BW_20K,20000,0,0,0.0000,0,6,6,1.0000,0.0000,16.00,16.00,16.00,30.00,30.00,0,0,0,0,0,0,240,240,20000.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260927,CONTROLLED_SIMULATION
EXP-BW-BW_20K-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,BW_20K,20000,0,0,0.0000,0,6,6,1.0000,0.0000,46.00,50.00,46.33,60.00,64.00,0,0,0,0,0,0,691,691,19884.89,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260928,CONTROLLED_SIMULATION
EXP-BW-BW_20K-CONTEXT_DELTA,CONTEXT_DELTA,BW_20K,20000,0,0,0.0000,0,6,6,1.0000,0.0000,18.00,18.00,17.33,32.00,32.00,0,0,0,0,0,0,254,254,19538.46,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260929,CONTROLLED_SIMULATION
EXP-BW-BW_10K-FULL,FULL,BW_10K,10000,0,0,0.0000,0,6,6,1.0000,0.0000,82.00,89.00,82.67,110.00,117.00,0,0,0,0,0,0,617,617,9951.61,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260930,CONTROLLED_SIMULATION
EXP-BW-BW_10K-COMPACT,COMPACT,BW_10K,10000,0,0,0.0000,0,6,6,1.0000,0.0000,79.00,86.00,79.83,107.00,114.00,0,0,0,0,0,0,594,594,9920.67,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260931,CONTROLLED_SIMULATION
EXP-BW-BW_10K-SEMANTIC_BASE,SEMANTIC_BASE,BW_10K,10000,0,0,0.0000,0,6,6,1.0000,0.0000,32.00,32.00,32.00,60.00,60.00,0,0,0,0,0,0,240,240,10000.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260932,CONTROLLED_SIMULATION
EXP-BW-BW_10K-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,BW_10K,10000,0,0,0.0000,0,6,6,1.0000,0.0000,91.50,99.00,92.33,119.50,127.00,0,0,0,0,0,0,691,691,9978.34,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260933,CONTROLLED_SIMULATION
EXP-BW-BW_10K-CONTEXT_DELTA,CONTEXT_DELTA,BW_10K,10000,0,0,0.0000,0,6,6,1.0000,0.0000,36.00,36.00,34.67,64.00,64.00,0,0,0,0,0,0,254,254,9769.23,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260934,CONTROLLED_SIMULATION
EXP-BW-BW_5K-FULL,FULL,BW_5K,5000,0,0,0.0000,0,6,6,1.0000,0.0000,163.50,178.00,164.83,218.50,233.00,0,0,0,0,0,0,617,617,4990.90,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260935,CONTROLLED_SIMULATION
EXP-BW-BW_5K-COMPACT,COMPACT,BW_5K,5000,0,0,0.0000,0,6,6,1.0000,0.0000,157.50,172.00,159.00,212.50,227.00,0,0,0,0,0,0,594,594,4981.13,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260936,CONTROLLED_SIMULATION
EXP-BW-BW_5K-SEMANTIC_BASE,SEMANTIC_BASE,BW_5K,5000,0,0,0.0000,0,6,6,1.0000,0.0000,64.00,64.00,64.00,119.00,119.00,0,0,0,0,0,0,240,240,5000.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260937,CONTROLLED_SIMULATION
EXP-BW-BW_5K-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,BW_5K,5000,0,0,0.0000,0,6,6,1.0000,0.0000,182.50,197.00,184.33,237.50,252.00,0,0,0,0,0,0,691,691,4998.19,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260938,CONTROLLED_SIMULATION
EXP-BW-BW_5K-CONTEXT_DELTA,CONTEXT_DELTA,BW_5K,5000,0,0,0.0000,0,6,6,1.0000,0.0000,71.00,71.00,68.33,126.00,126.00,0,0,0,0,0,0,254,254,4956.10,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260939,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_0%-FULL,FULL,LOSS_0%,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,617,617,0.00,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260940,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_0%-COMPACT,COMPACT,LOSS_0%,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,594,594,0.00,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260941,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_0%-SEMANTIC_BASE,SEMANTIC_BASE,LOSS_0%,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,240,240,0.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260942,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_0%-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,LOSS_0%,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,691,691,0.00,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260943,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_0%-CONTEXT_DELTA,CONTEXT_DELTA,LOSS_0%,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,254,254,0.00,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260944,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_5%-FULL,FULL,LOSS_5%,-1,0,0,0.0500,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,617,617,0.00,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260945,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_5%-COMPACT,COMPACT,LOSS_5%,-1,0,0,0.0500,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,594,594,0.00,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260946,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_5%-SEMANTIC_BASE,SEMANTIC_BASE,LOSS_5%,-1,0,0,0.0500,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,240,240,0.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260947,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_5%-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,LOSS_5%,-1,0,0,0.0500,0,6,6,1.0000,0.0000,0.00,200.00,33.33,0.00,200.00,1,0,0,0,0,0,691,809,32360.00,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260948,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_5%-CONTEXT_DELTA,CONTEXT_DELTA,LOSS_5%,-1,0,0,0.0500,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,254,254,0.00,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260949,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_10%-FULL,FULL,LOSS_10%,-1,0,0,0.1000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,617,617,0.00,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260950,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_10%-COMPACT,COMPACT,LOSS_10%,-1,0,0,0.1000,0,6,6,1.0000,0.1429,0.00,200.00,33.33,0.00,200.00,0,0,0,0,0,0,594,594,23760.00,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260951,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_10%-SEMANTIC_BASE,SEMANTIC_BASE,LOSS_10%,-1,0,0,0.1000,0,6,6,1.0000,0.0000,0.00,200.00,66.67,0.00,200.00,2,0,0,0,0,0,240,320,6400.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260952,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_10%-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,LOSS_10%,-1,0,0,0.1000,0,6,6,1.0000,0.1429,0.00,200.00,33.33,0.00,200.00,0,0,0,0,0,0,691,691,27640.00,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260953,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_10%-CONTEXT_DELTA,CONTEXT_DELTA,LOSS_10%,-1,0,0,0.1000,0,6,6,1.0000,0.0000,0.00,200.00,33.33,0.00,200.00,1,0,0,0,0,0,254,298,11920.00,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260954,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_20%-FULL,FULL,LOSS_20%,-1,0,0,0.2000,0,6,5,0.8333,0.3333,200.00,600.00,240.00,200.00,600.00,8,0,0,0,0,0,617,1043,5794.44,0.3079,1.0000,0.8333,0.5000,0.5000,0.7222,0.7222,20260955,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_20%-COMPACT,COMPACT,LOSS_20%,-1,0,0,0.2000,0,6,6,1.0000,0.1111,100.00,200.00,100.00,100.00,200.00,2,0,0,0,0,0,594,782,10426.67,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260956,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_20%-SEMANTIC_BASE,SEMANTIC_BASE,LOSS_20%,-1,0,0,0.2000,0,6,5,0.8333,0.1538,200.00,400.00,160.00,200.00,400.00,7,0,0,0,0,0,240,440,3666.67,0.0000,0.6061,0.8333,0.8333,0.8333,0.8333,0.8333,20260957,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_20%-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,LOSS_20%,-1,0,0,0.2000,0,6,6,1.0000,0.1250,0.00,400.00,66.67,0.00,400.00,2,0,0,0,0,0,691,801,16020.00,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260958,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_20%-CONTEXT_DELTA,CONTEXT_DELTA,LOSS_20%,-1,0,0,0.2000,0,6,6,1.0000,0.2222,0.00,400.00,100.00,0.00,400.00,2,0,0,0,0,0,254,298,3973.33,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260959,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_30%-FULL,FULL,LOSS_30%,-1,0,0,0.3000,0,6,6,1.0000,0.2000,100.00,400.00,133.33,100.00,400.00,3,0,0,0,0,0,617,826,8260.00,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260960,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_30%-COMPACT,COMPACT,LOSS_30%,-1,0,0,0.3000,0,6,6,1.0000,0.1818,100.00,400.00,166.67,100.00,400.00,4,0,0,0,0,0,594,892,7136.00,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260961,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_30%-SEMANTIC_BASE,SEMANTIC_BASE,LOSS_30%,-1,0,0,0.3000,0,6,5,0.8333,0.4444,0.00,0.00,0.00,0.00,0.00,3,0,0,0,0,0,240,200,0.00,0.0000,0.6061,0.8333,0.8333,0.8333,0.8333,0.8333,20260962,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_30%-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,LOSS_30%,-1,0,0,0.3000,0,6,5,0.8333,0.3571,200.00,600.00,200.00,200.00,600.00,7,0,0,0,0,0,691,1034,6893.33,0.3821,1.7449,0.8333,0.8333,0.8333,0.8333,0.8333,20260963,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_30%-CONTEXT_DELTA,CONTEXT_DELTA,LOSS_30%,-1,0,0,0.3000,0,6,6,1.0000,0.1250,0.00,200.00,66.67,0.00,200.00,1,0,0,0,0,0,254,298,5960.00,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260964,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_50%-FULL,FULL,LOSS_50%,-1,0,0,0.5000,0,6,3,0.5000,0.6000,400.00,600.00,333.33,400.00,600.00,15,0,0,0,0,0,617,834,3336.00,0.3079,1.0000,0.5000,0.3333,0.3333,0.4722,0.4722,20260965,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_50%-COMPACT,COMPACT,LOSS_50%,-1,0,0,0.5000,0,6,5,0.8333,0.4375,400.00,600.00,280.00,400.00,600.00,9,0,0,0,0,0,594,910,4333.33,0.2811,1.5000,0.8333,0.5000,0.5000,0.7222,0.7222,20260966,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_50%-SEMANTIC_BASE,SEMANTIC_BASE,LOSS_50%,-1,0,0,0.5000,0,6,5,0.8333,0.4375,200.00,600.00,280.00,200.00,600.00,7,0,0,0,0,0,240,360,1714.29,0.0000,0.6061,0.8333,0.8333,0.8333,0.8333,0.8333,20260967,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_50%-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,LOSS_50%,-1,0,0,0.5000,0,6,5,0.8333,0.5333,0.00,600.00,240.00,0.00,600.00,7,0,0,0,0,0,691,809,4494.44,0.3821,1.7449,0.8333,0.8333,0.8333,0.8333,0.8333,20260968,CONTROLLED_SIMULATION
EXP-LOSS-LOSS_50%-CONTEXT_DELTA,CONTEXT_DELTA,LOSS_50%,-1,0,0,0.5000,0,6,4,0.6667,0.5333,100.00,400.00,150.00,100.00,400.00,8,0,0,0,0,0,254,293,2604.44,0.0000,0.6414,0.6667,0.6667,0.6667,0.6667,0.6667,20260969,CONTROLLED_SIMULATION
EXP-LAT-L0_J0-FULL,FULL,L0_J0,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,617,617,0.00,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260970,CONTROLLED_SIMULATION
EXP-LAT-L0_J0-COMPACT,COMPACT,L0_J0,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,594,594,0.00,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260971,CONTROLLED_SIMULATION
EXP-LAT-L0_J0-SEMANTIC_BASE,SEMANTIC_BASE,L0_J0,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,240,240,0.00,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260972,CONTROLLED_SIMULATION
EXP-LAT-L0_J0-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,L0_J0,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,691,691,0.00,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260973,CONTROLLED_SIMULATION
EXP-LAT-L0_J0-CONTEXT_DELTA,CONTEXT_DELTA,L0_J0,-1,0,0,0.0000,0,6,6,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,254,254,0.00,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260974,CONTROLLED_SIMULATION
EXP-LAT-L50_J10-FULL,FULL,L50_J10,-1,50,10,0.0000,0,6,6,1.0000,0.0000,44.00,49.00,44.33,92.50,103.00,0,0,0,0,0,0,617,617,18556.39,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260975,CONTROLLED_SIMULATION
EXP-LAT-L50_J10-COMPACT,COMPACT,L50_J10,-1,50,10,0.0000,0,6,6,1.0000,0.0000,50.50,58.00,50.50,103.00,116.00,0,0,0,0,0,0,594,594,15683.17,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260976,CONTROLLED_SIMULATION
EXP-LAT-L50_J10-SEMANTIC_BASE,SEMANTIC_BASE,L50_J10,-1,50,10,0.0000,0,6,6,1.0000,0.0000,50.00,59.00,50.33,97.50,118.00,0,0,0,0,0,0,240,240,6357.62,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260977,CONTROLLED_SIMULATION
EXP-LAT-L50_J10-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,L50_J10,-1,50,10,0.0000,0,6,6,1.0000,0.0000,49.00,58.00,50.33,100.00,117.00,0,0,0,0,0,0,691,691,18304.64,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260978,CONTROLLED_SIMULATION
EXP-LAT-L50_J10-CONTEXT_DELTA,CONTEXT_DELTA,L50_J10,-1,50,10,0.0000,0,6,6,1.0000,0.0000,53.00,58.00,50.17,100.00,107.00,0,0,0,0,0,0,254,254,6750.83,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260979,CONTROLLED_SIMULATION
EXP-LAT-L100_J25-FULL,FULL,L100_J25,-1,100,25,0.0000,0,6,6,1.0000,0.0000,100.00,125.00,98.50,190.00,248.00,0,0,0,0,0,0,617,617,8351.95,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260980,CONTROLLED_SIMULATION
EXP-LAT-L100_J25-COMPACT,COMPACT,L100_J25,-1,100,25,0.0000,0,6,6,1.0000,0.0000,101.00,123.00,104.17,202.50,216.00,0,0,0,0,0,0,594,594,7603.20,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260981,CONTROLLED_SIMULATION
EXP-LAT-L100_J25-SEMANTIC_BASE,SEMANTIC_BASE,L100_J25,-1,100,25,0.0000,0,6,6,1.0000,0.0000,93.50,104.00,91.00,182.50,221.00,0,0,0,0,0,0,240,240,3516.48,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260982,CONTROLLED_SIMULATION
EXP-LAT-L100_J25-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,L100_J25,-1,100,25,0.0000,0,6,6,1.0000,0.0000,85.50,104.00,88.33,199.00,213.00,0,0,0,0,0,0,691,691,10430.19,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260983,CONTROLLED_SIMULATION
EXP-LAT-L100_J25-CONTEXT_DELTA,CONTEXT_DELTA,L100_J25,-1,100,25,0.0000,0,6,6,1.0000,0.0000,108.00,124.00,104.50,205.00,248.00,0,0,0,0,0,0,254,254,3240.83,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260984,CONTROLLED_SIMULATION
EXP-LAT-L250_J50-FULL,FULL,L250_J50,-1,250,50,0.0000,0,6,6,1.0000,0.0000,235.50,294.00,248.00,504.50,542.00,0,0,0,0,0,0,617,617,3317.20,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260985,CONTROLLED_SIMULATION
EXP-LAT-L250_J50-COMPACT,COMPACT,L250_J50,-1,250,50,0.0000,0,6,6,1.0000,0.0000,235.00,293.00,244.83,495.00,592.00,0,0,0,0,0,0,594,594,3234.85,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260986,CONTROLLED_SIMULATION
EXP-LAT-L250_J50-SEMANTIC_BASE,SEMANTIC_BASE,L250_J50,-1,250,50,0.0000,0,6,6,1.0000,0.0000,249.50,288.00,249.67,498.00,550.00,0,0,0,0,0,0,240,240,1281.71,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260987,CONTROLLED_SIMULATION
EXP-LAT-L250_J50-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,L250_J50,-1,250,50,0.0000,0,6,6,1.0000,0.0000,249.50,299.00,251.33,493.50,524.00,0,0,0,0,0,0,691,691,3665.78,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260988,CONTROLLED_SIMULATION
EXP-LAT-L250_J50-CONTEXT_DELTA,CONTEXT_DELTA,L250_J50,-1,250,50,0.0000,0,6,6,1.0000,0.0000,234.50,298.00,244.83,486.50,534.00,0,0,0,0,0,0,254,254,1383.25,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260989,CONTROLLED_SIMULATION
EXP-LAT-L500_J50-FULL,FULL,L500_J50,-1,500,50,0.0000,0,6,6,1.0000,0.0000,508.50,525.00,502.67,993.00,1044.00,0,0,0,0,0,0,617,617,1636.60,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260990,CONTROLLED_SIMULATION
EXP-LAT-L500_J50-COMPACT,COMPACT,L500_J50,-1,500,50,0.0000,0,6,6,1.0000,0.0000,487.50,536.00,496.33,999.00,1052.00,0,0,0,0,0,0,594,594,1595.70,0.2811,1.5000,1.0000,0.6667,0.6667,0.8889,0.8889,20260991,CONTROLLED_SIMULATION
EXP-LAT-L500_J50-SEMANTIC_BASE,SEMANTIC_BASE,L500_J50,-1,500,50,0.0000,0,6,6,1.0000,0.0000,511.50,541.00,508.17,999.50,1042.00,0,0,0,0,0,0,240,240,629.71,0.0000,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,20260992,CONTROLLED_SIMULATION
EXP-LAT-L500_J50-SEMANTIC_ENHANCED,SEMANTIC_ENHANCED,L500_J50,-1,500,50,0.0000,0,6,6,1.0000,0.0000,518.50,545.00,507.50,1030.50,1071.00,0,0,0,0,0,0,691,691,1815.44,0.3821,1.7449,1.0000,1.0000,1.0000,1.0000,1.0000,20260993,CONTROLLED_SIMULATION
EXP-LAT-L500_J50-CONTEXT_DELTA,CONTEXT_DELTA,L500_J50,-1,500,50,0.0000,0,6,6,1.0000,0.0000,497.00,508.00,487.50,991.00,1048.00,0,0,0,0,0,0,254,254,694.70,0.0000,0.6414,1.0000,1.0000,1.0000,1.0000,1.0000,20260994,CONTROLLED_SIMULATION
EXP-BURST-BURST_3-FULL,FULL,BURST_3,-1,0,0,0.0000,3,6,6,1.0000,0.4167,0.00,600.00,200.00,0.00,600.00,5,0,0,0,0,0,617,723,4820.00,0.3079,1.0000,1.0000,0.6667,0.6667,0.8889,0.8889,20260995,CONTROLLED_SIMULATION
