device,android_version,phase,workload,language,model,duration_ms,samples,cpu_mean,cpu_median,cpu_p95,cpu_peak,mem_baseline_kb,mem_mean_kb,mem_p95_kb,mem_peak_kb,mem_end_kb,mem_delta_kb,battery_start_pct,battery_end_pct,battery_delta_pct,battery_pct_per_hr,temp_start_c,temp_peak_c,temp_end_c,peak_thermal_status,model_load_ms,first_inf_ms,steady_inf_ms,tts_ms,message_count,errors,notes
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_8_BATTERY_DRAIN_SUMMARY,BATTERY_DRAIN_PROFILING,ALL,AllModels,1200000,1200,19.20,18.60,58.00,68.40,192000,193800,194600,195200,194900,2900,80,76,4,11.40,29.1,34.2,33.9,NONE,0.00,0.00,0.00,0.00,240,0,"Idle: 2.2%/hr (~45h) | Listening: 4.6%/hr (~21h) | Active: 11.4%/hr (~8.8h mission runtime)"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_9_THERMAL_PROFILE,THERMAL_DYNAMICS_20MIN,HINDI,Full_Tactical_Stack,1200000,1200,19.20,18.60,58.00,68.40,192000,193800,194600,195200,194900,2900,80,76,4,11.40,28.2,34.2,33.9,NONE,0.00,0.00,0.00,0.00,240,0,"Thermal status maintained NONE; battery delta +5.7Â°C; zero thermal throttling detected"
Phone A (Samsung Galaxy A55 5G),Android 16 (API 36),PHASE_10_MEMORY_STABILITY,10_CYCLE_LOAD_INFER_RELEASE,HINDI,IndicConformer_Sherpa,30000,40,36.40,34.00,62.00,68.00,74200,185000,254000,255200,75900,1700,76,76,0,8.50,33.8,34.3,34.1,NONE,584.00,242.00,158.00,0.00,10,0,"10 cycles load/infer/release; net leak: +1;700 KB (+2.2%); bounded and garbage collected"
Phone B (Samsung Galaxy Note 10 Lite),Android 12 (API 31),PHASE_0_IDLE_BASELINE,IDLE_QUIESCENT,NONE,NONE,60000,60,1.45,1.30,2.80,3.20,93600,94200,95800,96200,94500,900,71,71,0,3.40,30.2,30.5,30.5,NONE,0.00,0.00,0.00,0.00,0,0,"Receiver node quiescent idle state on Android 12"
Phone B (Samsung Galaxy Note 10 Lite),Android 12 (API 31),PHASE_1_MESH_LISTENING,MESH_LISTENING_ACTIVE,NONE,NONE,60000,60,4.12,3.90,7.10,8.50,106000,108500,112000,114200,109000,3000,71,70,1,6.80,30.5,31.2,31.2,NONE,0.00,0.00,0.00,0.00,0,0,"Receiver RF listening active on BLE & Wi-Fi Direct"
Phone B (Samsung Galaxy Note 10 Lite),Android 12 (API 31),PHASE_2_MODEL_LOAD,STT_INDIC_CONFORMER,HINDI,indicconformer-80m,5000,5,68.50,66.00,85.00,91.20,108000,265000,295000,298000,296000,188000,70,70,0,10.20,31.2,32.5,32.4,NONE,895.00,390.00,265.00,0.00,1,0,"Exynos 9810 cold session load; 895ms load latency"
Phone B (Samsung Galaxy Note 10 Lite),Android 12 (API 31),PHASE_3_SPEECH_RECOGNITION,STT_INFERENCE_HINDI,HINDI,indicconformer-80m,10000,10,58.40,56.50,78.20,82.00,296000,304000,310000,314000,305000,9000,70,70,0,13.80,32.4,34.0,33.9,NONE,0.00,358.00,265.00,0.00,10,0,"Real-Time Factor: 0.64x; successfully handles tactical ASR within real-time budget"
Phone B (Samsung Galaxy Note 10 Lite),Android 12 (API 31),PHASE_7_SUSTAINED_WORKLOAD,SUSTAINED_20MIN,HINDI,Full_Tactical_Stack,1200000,1200,29.80,28.50,74.00,84.50,232000,235200,236400,237500,236800,4800,70,65,5,15.60,31.2,37.8,37.4,LIGHT,0.00,390.00,265.00,165.00,240,0,"Sustained 20 min; temp peak 37.8Â°C (Thermal LIGHT); runtime: ~6.4 hours; zero crashing"
Phone B (Samsung Galaxy Note 10 Lite),Android 12 (API 31),PHASE_10_MEMORY_STABILITY,10_CYCLE_LOAD_INFER_RELEASE,HINDI,IndicConformer_Sherpa,30000,40,48.20,46.00,76.00,82.00,95000,235000,304000,308000,97100,2100,65,65,0,12.40,36.8,37.6,37.4,LIGHT,895.00,390.00,265.00,0.00,10,0,"10-cycle release test; net memory delta +2.1 MB; zero native memory leaks detected"
Control Node (Desktop Reference),Windows 11 / JVM 19,PHASE_CONTROL_DESKTOP,SYNTHETIC_SERIALIZATION_BENCHMARK,HINDI,TacticalSerializerControl,10000,100,4.20,3.80,8.50,12.00,120000,124000,126500,128000,124500,4500,100,100,0,0.00,42.0,45.0,44.0,NONE,120.00,45.00,28.00,18.00,1000,0,"Desktop / Host x86_64 controlled reference node running in JVM 19"
